index,time,x,y,z,roll,pitch,yaw
47,2.342,0.1569061279296875,-0.0626983642578125,-0.9842529296875,-0.002129996195435524,0.000538491178303957,-0.0029521139804273844
48,2.392,0.155670166015625,-0.062591552734375,-0.984161376953125,-0.0029944581910967827,0.0015507587231695652,-0.0029348034877330065
49,2.442,0.156463623046875,-0.0620880126953125,-0.98321533203125,-0.0021318604703992605,0.0021110877860337496,-0.0031350732315331697
50,2.491,0.1575164794921875,-0.0613861083984375,-0.9840850830078125,-0.002263420494273305,0.001336107961833477,-0.0015550197567790747
51,2.541,0.1559906005859375,-0.0628662109375,-0.985015869140625,-0.001859152689576149,-0.00017843178648035973,-0.005135640036314726
52,2.591,0.1570587158203125,-0.0605316162109375,-0.9832916259765625,-0.002004561247304082,-0.0006673881434835494,-0.0012431635987013578
53,2.641,0.1557464599609375,-0.0636138916015625,-0.98480224609375,-0.0026551715563982725,-0.0003014698449987918,-0.004179564770311117
54,2.691,0.157470703125,-0.0619354248046875,-0.9831695556640625,-0.0024775387719273567,0.0001525991247035563,-0.0027079021092504263
55,2.741,0.1578369140625,-0.061187744140625,-0.984527587890625,-0.0030274814926087856,0.00039867521263659,-0.004627774935215712
56,2.79,0.155517578125,-0.063995361328125,-0.9853973388671875,-0.003168096300214529,0.0004340952436905354,-0.004382231738418341
57,2.84,0.1580352783203125,-0.0626373291015625,-0.9842071533203125,-0.0031316110398620367,-0.00047084689140319824,-0.0033939324785023928
58,2.89,0.1553802490234375,-0.060943603515625,-0.9832763671875,-0.0009025452891364694,-0.00031904669594950974,-0.00358860963024199
59,2.94,0.15625,-0.0627899169921875,-0.9848480224609375,-0.0015182681381702423,0.0016727314796298742,-0.0028181569650769234
60,2.99,0.156097412109375,-0.063812255859375,-0.983489990234375,-0.0017829863354563713,-0.00019441076437942684,-0.0057526943273842335
61,3.04,0.1574249267578125,-0.060699462890625,-0.9855194091796875,-0.0026109630707651377,-0.0007491472060792148,-0.002150768879801035
62,3.089,0.1566162109375,-0.0653076171875,-0.9832763671875,-0.0026109630707651377,-0.0007491472060792148,-0.002150768879801035
63,3.139,0.1561737060546875,-0.0631561279296875,-0.9843597412109375,-0.003826429834589362,0.00039254993316717446,-0.003572896821424365
64,3.189,0.15673828125,-0.0613555908203125,-0.9832916259765625,-0.0036131106317043304,0.001178448786959052,-0.004064516630023718
65,3.239,0.1565093994140625,-0.0609283447265625,-0.9846649169921875,-0.0020703414920717478,0.0007896272582001984,-0.0027198863681405783
66,3.289,0.1569366455078125,-0.0619049072265625,-0.9848785400390625,-0.0022455775178968906,-0.00003355582884978503,-0.0016133430181071162
67,3.339,0.1572265625,-0.062225341796875,-0.985931396484375,-0.002552373567596078,0.0005989448982290924,-0.0020636834669858217
68,3.388,0.155609130859375,-0.0620880126953125,-0.98455810546875,-0.0016708672046661377,-0.0022919164039194584,-0.0008756473544053733
69,3.438,0.1563873291015625,-0.0632476806640625,-0.9829254150390625,-0.0034615767654031515,-0.0006956176948733628,-0.0029622339643538
70,3.488,0.15618896484375,-0.0605926513671875,-0.98388671875,-0.00039654469583183527,0.0016157397767528892,-0.0014751249691471457
71,3.538,0.156494140625,-0.0637054443359375,-0.9839630126953125,-0.0028360001742839813,-0.0007382282637991011,-0.002088450826704502
72,3.588,0.1567535400390625,-0.06292724609375,-0.98516845703125,-0.002549976808950305,0.0015872439835220575,-0.002960369922220707
73,3.638,0.1555633544921875,-0.0617828369140625,-0.9845733642578125,-0.002674612682312727,0.00018349179299548268,-0.0032655680552124977
74,3.687,0.1579132080078125,-0.0632476806640625,-0.9845733642578125,-0.0028016455471515656,-0.00017124126316048205,-0.002778742229565978
75,3.737,0.155670166015625,-0.063201904296875,-0.986175537109375,-0.002865028567612171,-0.0003462109307292849,-0.002590723102912307
76,3.787,0.15716552734375,-0.062347412109375,-0.984527587890625,-0.0007962851668708026,0.0001656486128922552,-0.001740642124786973
77,3.837,0.1561279296875,-0.062286376953125,-0.983245849609375,-0.0011646003695204854,0.0007560714147984982,-0.004936701618134975
78,3.887,0.1572723388671875,-0.0629425048828125,-0.984649658203125,-0.0032168321777135134,0.000014381069377122913,-0.003871171036735177
79,3.937,0.156524658203125,-0.0627593994140625,-0.9854888916015625,-0.0033782199025154114,0.00016937704640440643,-0.0021603561472147703
80,3.986,0.1582183837890625,-0.063934326171875,-0.9850006103515625,-0.0030626351945102215,-0.00038695731200277805,-0.002898584585636854
81,4.036,0.1559295654296875,-0.063690185546875,-0.9839935302734375,-0.0025478461757302284,0.00036245622322894633,-0.0030953921377658844
82,4.086,0.156280517578125,-0.0604400634765625,-0.9853363037109375,-0.0007278419216163456,0.0011867046123370528,-0.0019355855183675885
83,4.136,0.157012939453125,-0.062835693359375,-0.984130859375,-0.002826412906870246,-0.000431432097684592,-0.0017417073249816895
84,4.186,0.1563720703125,-0.063262939453125,-0.983795166015625,-0.0036879454273730516,0.00029774141148664057,-0.0020301276817917824
85,4.236,0.15625,-0.0620269775390625,-0.9843597412109375,-0.00192226970102638,-0.00009214537567459047,-0.0052118063904345036
86,4.285,0.1565093994140625,-0.06121826171875,-0.98492431640625,-0.001999235013499856,0.0015185344964265823,-0.0014990933705121279
87,4.335,0.157470703125,-0.0634307861328125,-0.9847259521484375,-0.0007574030314572155,-0.0004386226355563849,-0.0035896748304367065
88,4.385,0.1557159423828125,-0.060943603515625,-0.984649658203125,-0.004460262134671211,-0.0006764429272152483,-0.0030658310279250145
89,4.435,0.1558837890625,-0.0643157958984375,-0.9836883544921875,-0.0026200178544968367,-0.00023276027059182525,-0.0043686493299901485
90,4.485,0.155242919921875,-0.0608367919921875,-0.9842071533203125,-0.001160339335910976,-0.00023435817274730653,-0.001216798322275281
91,4.535,0.1568145751953125,-0.0655364990234375,-0.9838714599609375,-0.0030975225381553173,-0.00005885586142539978,-0.00427144393324852
92,4.584,0.1553192138671875,-0.0612030029296875,-0.984375,-0.0016524913953617215,0.00013875069271307439,-0.003492469433695078
93,4.634,0.1566162109375,-0.0657806396484375,-0.981781005859375,0.001442900625988841,-0.003936684690415859,-0.002590989461168647
