index,time,acc x,acc y,acc z,gyro x,gyro y,gyro z,mag x,mag y,mag z
91,4.535,-0.871337890625,0.2509765625,0.4568328857421875,-0.44471725821495056,-2.3647243976593018,0.8776918649673462,362.704345703125,27.15643310546875,-259.6324157714844
92,4.585,-0.8474884033203125,0.20941162109375,0.4936370849609375,-0.45135653018951416,-2.594111442565918,0.4117622375488281,365.2591857910156,26.811248779296875,-258.0960388183594
93,4.635,-0.69708251953125,0.222015380859375,0.62445068359375,-0.6198027729988098,-2.626671314239502,0.6155079007148743,368.57098388671875,25.764602661132812,-255.72425842285156
94,4.685,-0.526336669921875,0.1383514404296875,0.7010345458984375,-0.24819143116474152,-3.217482089996338,0.9469748139381409,371.8792419433594,24.738906860351562,-254.0009002685547
95,4.734,-0.519561767578125,0.1080169677734375,0.79937744140625,-0.12123614549636841,-2.6749465465545654,0.4507288336753845,376.869140625,24.337081909179688,-251.9283905029297
96,4.784,-0.29949951171875,0.2653045654296875,0.836456298828125,-0.5506756901741028,-2.444459915161133,0.17616650462150574,381.7169494628906,24.2503662109375,-249.57400512695312
97,4.834,-0.2114105224609375,0.214111328125,1.1386566162109375,-0.2614595592021942,0.6145284175872803,-0.3834770917892456,386.08917236328125,23.413558959960938,-248.6614990234375
98,4.884,-0.1921234130859375,0.220672607421875,0.7803955078125,-0.1622919738292694,2.4892749786376953,-0.052023254334926605,385.68768310546875,23.188613891601562,-248.42185974121094
99,4.934,-0.3962554931640625,0.2443695068359375,1.059814453125,0.14878495037555695,4.20972204208374,0.308170884847641,381.1829833984375,23.148681640625,-249.48931884765625
100,4.984,-0.6707305908203125,0.3014678955078125,0.7534942626953125,-0.206277534365654,4.4972968101501465,0.3172922134399414,373.50946044921875,23.660629272460938,-252.399169921875
101,5.034,-0.8558197021484375,0.234222412109375,0.5193634033203125,0.08582355827093124,2.9602503776550293,-0.34006384015083313,366.2024841308594,23.695404052734375,-257.71923828125
102,5.083,-0.902252197265625,0.1897125244140625,0.456268310546875,0.40217354893684387,2.0665595531463623,-0.7505384683609009,361.9002990722656,23.059967041015625,-261.7924499511719
103,5.133,-0.96746826171875,0.1166839599609375,0.2847137451171875,0.7427103519439697,2.3498318195343018,-1.2305103540420532,359.58758544921875,22.44842529296875,-264.294921875
104,5.183,-0.900299072265625,0.172149658203125,0.349151611328125,0.08789177238941193,3.2851104736328125,-1.35306715965271,357.0594482421875,20.351593017578125,-267.9715881347656
105,5.233,-0.8277130126953125,0.1110992431640625,0.1485137939453125,-0.28359150886535645,3.529459238052368,-0.9080100655555725,354.7247314453125,17.609725952148438,-274.62701416015625
