index,time,acc x,acc y,acc z,sin ori x,sin ori y,sin ori z,user input
63,3.375,-0.233551025390625,0.1980133056640625,0.39495849609375,0.893943157033378,-0.7495566300075672,-0.46733805597451683,0
64,3.425,0.1135406494140625,-0.4300079345703125,0.797088623046875,0.8800991714937141,-0.7697881033486657,0.12439133985840024,0
65,3.474,0.534088134765625,-0.47235107421875,0.9925994873046875,0.7902258721764708,-0.7280228913777004,0.025823442762173517,0
66,3.524,0.8671112060546875,-0.3159942626953125,0.6915740966796875,0.6518593285872849,-0.6779677599527314,-0.08994188483573527,0
67,3.574,1.0319671630859375,-0.28961181640625,0.410003662109375,0.4201718241843984,-0.6118073455044679,-0.14120773041175694,0
68,3.624,0.4798583984375,-0.8461456298828125,0.4524383544921875,0.4715297458237071,-0.5383252107278864,0.4472900278317953,0
69,3.674,-0.8259735107421875,-1.923858642578125,-0.4405364990234375,0.3986965700235595,-0.6162773596829983,0.5040030282277513,0
70,3.724,-0.52099609375,-1.667266845703125,0.0884246826171875,0.41535097015258354,-0.6963873556761769,0.5291721128414951,0
71,3.774,0.4333648681640625,-0.7903289794921875,0.015869140625,0.020075111760269798,-0.6245781301308675,0.48072284483703875,0
72,3.823,0.4169158935546875,-0.6156158447265625,0.0010833740234375,0.0017598188141719423,-0.6198161932549856,0.560742267498888,0
73,3.873,0.1602783203125,-0.807830810546875,0.265167236328125,0.31187421062818893,-0.6647877268520729,0.18524725412834303,0
74,3.923,-0.373931884765625,-1.251434326171875,-0.20867919921875,0.31134900535035254,-0.6869660918638046,0.2330851829005069,0
75,3.973,-0.6527862548828125,-1.74591064453125,-0.8782958984375,0.2732104419819324,-0.688175440506126,0.25273831108565237,0
76,4.023,-0.2222900390625,-1.6903228759765625,-0.60565185546875,0.3377181349977704,-0.7111946936814799,0.21887408608064415,0
77,4.073,1.072418212890625,-1.0803985595703125,0.1847686767578125,0.49737084905566414,-0.6981784837277932,0.13777548551981644,0
78,4.122,1.9082794189453125,-0.242645263671875,1.0812530517578125,0.7217204722031467,-0.7370713945935466,0.08322542514585145,0
79,4.362,-2.5275115966796875,1.0202789306640625,-0.3615875244140625,0.5481159351426155,-0.8527216485347214,-0.03785203576523738,0
80,4.412,-0.121612548828125,0.2848968505859375,0.6016998291015625,0.903806898455019,-0.8765607835073608,-0.17969928840296467,1
81,4.461,0.420928955078125,-0.394439697265625,0.9126739501953125,0.9179413332220423,-0.889078067371459,0.38985974922322414,0
82,4.511,0.756561279296875,-0.065093994140625,0.250274658203125,0.9678012358599168,-0.9011540341083185,0.9462491020430548,0
83,4.561,1.3484649658203125,0.0278778076171875,0.3886260986328125,0.9260399399368338,-0.9032098848850235,0.919994008514731,0
84,4.611,1.3707733154296875,0.022491455078125,0.5848236083984375,0.8566476705672806,-0.8714649708126128,0.9320796734553675,0
85,4.661,-0.288177490234375,-1.906829833984375,0.3557281494140625,0.7875746554000693,-0.8479201272081432,0.9809847815780306,0
