index,time,acc x,acc y,acc z,ori x,ori z,punch
87,5.254,1.1377716064453125,-0.0834808349609375,1.0522308349609375,0.13277757414301455,-0.7713699255002945,None
88,5.304,1.0874786376953125,-0.561920166015625,0.0792694091796875,0.013910251533712732,-0.7639403768561202,None
89,5.354,0.9661865234375,-0.6812286376953125,1.30377197265625,-0.02548808843521206,-0.7581475786789215,None
90,5.404,0.455902099609375,-0.571868896484375,0.5526580810546875,0.6949255506122073,-0.4973377022376422,None
91,5.454,0.7244415283203125,-0.2327117919921875,-0.217742919921875,0.5477825497551727,-0.5182474075087841,None
92,5.503,0.9075469970703125,-0.38470458984375,0.4387054443359375,0.5169753225884104,-0.4686260435513587,None
93,5.553,0.6618804931640625,-0.617584228515625,0.630828857421875,0.5365542372064372,-0.38216374280266613,None
94,5.603,0.1278228759765625,-1.251953125,0.2932586669921875,0.4715241157590304,-0.296988745193777,None
95,5.653,-0.4141082763671875,-1.7307586669921875,-0.356781005859375,0.3804623718966179,-0.26370019417106316,None
96,5.703,0.0527496337890625,-1.4258575439453125,-0.2253265380859375,0.3144896638829849,-0.26347513871889305,None
97,5.753,-0.5126190185546875,-1.877105712890625,-0.1982574462890625,0.4162825715288605,-0.25261643860744676,None
98,5.803,0.3863525390625,-1.64892578125,0.498779296875,0.5382124852591172,-0.30769838265513627,None
99,5.852,1.66973876953125,-0.8203887939453125,0.72991943359375,0.7239695251118106,-0.33622452472733416,None
100,5.962,2.199249267578125,1.2821807861328125,0.564910888671875,0.8536123179721105,-0.24000217190066503,None
101,6.151,-2.1416168212890625,1.955230712890625,-0.347137451171875,0.6413782338166959,-0.4985483476558965,None
102,6.201,-0.1844940185546875,0.2836761474609375,1.28271484375,0.5942413288199995,-0.6565420144686297,None
103,6.251,0.2880096435546875,-0.493743896484375,0.40765380859375,0.636675725814055,-0.4102242758571344,Straight
104,6.301,0.9974212646484375,-0.36273193359375,0.8855438232421875,0.5502458503571205,-0.5563971800983117,None
105,6.351,1.2718353271484375,-0.68145751953125,0.76776123046875,0.40596450843837106,-0.6269337298204997,None
106,6.401,0.9304656982421875,-0.467681884765625,-0.083465576171875,0.29809162632346486,-0.6763317299854663,None
107,6.45,1.1192169189453125,-0.7029876708984375,0.9559478759765625,0.29297709864989774,-0.6718772700912533,None
108,6.5,0.57244873046875,-0.597076416015625,0.378509521484375,0.5354166170543139,-0.6293050091359473,None
109,6.55,0.437255859375,-0.6541900634765625,0.6838836669921875,0.7226204972976552,-0.41942082942496095,None
110,6.6,0.202239990234375,-1.1175537109375,0.31964111328125,0.6962224903424444,-0.33955885932046403,None
111,6.65,-0.1131591796875,-1.5194549560546875,0.337799072265625,0.7175234869169613,-0.2946069066207267,None
112,6.7,0.258636474609375,-0.9225311279296875,0.44390869140625,0.4335991603312256,-0.24493458451443562,None
113,6.749,0.72216796875,-0.714935302734375,0.42254638671875,0.37927362854176727,-0.27646701338144203,None
114,6.839,0.2765655517578125,-2.05609130859375,0.475189208984375,0.5058225774060103,-0.3817183584232741,None
115,6.889,1.46820068359375,0.024383544921875,0.9359588623046875,0.682302987328611,-0.4841302603701379,None
116,7.168,-2.255767822265625,1.794952392578125,0.95062255859375,0.8114818496413105,-0.6346321026966704,None
117,7.218,-0.550689697265625,0.173248291015625,0.5736541748046875,0.5822936284890896,-0.7948579888741616,Straight
118,7.268,0.4589080810546875,-0.26910400390625,1.266632080078125,0.5556634227500602,-0.8734747201625349,None
119,7.318,0.7296142578125,-0.6011810302734375,0.6427459716796875,0.45714713844551247,-0.9077972480683123,None
120,7.367,1.1132049560546875,-0.7548370361328125,0.54339599609375,0.3202337126769436,-0.9385729449667095,None
121,7.417,0.85833740234375,-0.785980224609375,0.5066986083984375,0.18684437556027053,-0.9561894465882836,None
122,7.467,0.7010650634765625,-0.7037811279296875,0.335235595703125,0.4300399497723803,-0.668687681887016,None
123,7.517,0.6248931884765625,-0.6938018798828125,0.70343017578125,0.4218803744118643,-0.675073419905185,None
124,7.567,0.621063232421875,-0.71783447265625,0.4635162353515625,0.5424550718557865,-0.5879390329343236,None
125,7.617,0.5001983642578125,-0.8114166259765625,0.590087890625,0.5313361531541881,-0.5614650690776842,None
126,7.667,0.4959869384765625,-0.6257171630859375,0.494232177734375,0.6198335136141897,-0.5281867988864603,None
127,7.716,0.512176513671875,-0.4625701904296875,0.4557952880859375,0.7018712635252896,-0.6192659850548005,None
128,7.766,-0.343841552734375,-1.1259613037109375,0.061126708984375,0.6847969086888328,-0.5764608223957821,None
129,7.816,-0.4865570068359375,-1.4083099365234375,0.4593658447265625,0.7315990491635403,-0.5430708595474745,None
130,7.866,0.0077056884765625,-1.0636138916015625,0.7117767333984375,0.7478841997039819,-0.5501794183769709,None
