time,x,y,z,roll,pitch,yaw
41,2.044,0.055755615234375,-0.2889404296875,-0.677734375,-0.04059935733675957,-0.16136252880096436,-0.3304932415485382
42,2.093,0.1604156494140625,-0.266815185546875,-0.8719635009765625,0.15225344896316528,-0.21309895813465118,0.18131360411643982
43,2.143,-0.0191497802734375,-0.2795562744140625,-0.8645782470703125,-0.11310844868421555,-0.3658309876918793,-0.11597294360399246
44,2.193,0.1190185546875,-0.3231353759765625,-0.9044952392578125,-0.10477647930383682,-0.2123309075832367,0.09388255327939987
45,2.243,0.0133514404296875,-0.3299560546875,-1.1251983642578125,-0.06090010330080986,0.018995529040694237,0.027909928932785988
46,2.293,-0.0276641845703125,-0.3358612060546875,-0.9227142333984375,-0.2413361817598343,-0.034506842494010925,0.1437033712863922
47,2.343,-0.0482940673828125,-0.2244110107421875,-1.0082550048828125,-0.070122629404068,-0.09514249116182327,0.20121407508850098
48,2.392,-0.0970916748046875,-0.24072265625,-0.9290008544921875,-0.1193130761384964,0.13695412874221802,0.10825376957654953
49,2.442,-0.012176513671875,-0.21868896484375,-0.863555908203125,-0.3000498414039612,0.1256876140832901,0.14895272254943848
50,2.492,-0.0783843994140625,-0.239288330078125,-1.0457916259765625,-0.31456512212753296,-0.11413003504276276,-0.020923923701047897
51,2.542,-0.0371856689453125,-0.2106781005859375,-0.9925537109375,-0.19235239923000336,-0.08609387278556824,0.11032278090715408
52,2.592,-0.007080078125,-0.1792755126953125,-0.9809112548828125,-0.1870734840631485,0.043416980654001236,0.13317003846168518
53,2.642,-0.02362060546875,-0.161041259765625,-0.96142578125,-0.09378055483102798,0.09419015049934387,0.011048655956983566
54,2.691,-0.0481109619140625,-0.140045166015625,-1.0718994140625,0.06905576586723328,-0.17609113454818726,-0.0079133166000247
55,2.741,-0.0062408447265625,-0.217041015625,-0.90863037109375,-0.08485097438097,-0.10093513876199722,-0.05481051653623581
56,2.791,-0.081756591796875,-0.167877197265625,-1.13458251953125,0.05349784716963768,-0.07681328803300858,0.020180901512503624
57,2.841,-0.0318450927734375,-0.2150726318359375,-0.9504852294921875,0.05349784716963768,-0.07681328803300858,0.020180901512503624
58,2.891,-0.0206298828125,-0.1715545654296875,-0.9935760498046875,0.07407981902360916,0.04187607765197754,0.01146650593727827
59,2.941,-0.0296630859375,-0.17913818359375,-0.9829864501953125,0.08220858871936798,0.08764942735433578,0.00336144189350307
